1001, 0900, 1700
1002, 0901, 1658
1003, 0853, 1712
1004, 9999, 9999
1005, 0910, 1710
1006, 0920, 1713
1007, 0850, 1658
1008, 0853, 1712
1009, 9999, 9999
1010, 0912, 1657
1011, 0900, 1720
1012, 0940, 1630
1013, 0859, 1700
1014, 1012, 1720
1015, 9999, 9999
1001, 0900, 1700
1002, 0901, 1658
1003, 0900, 1712
1004, 9999, 9999
1005, 0910, 1710
1006, 0900, 1612
1007, 9999, 9999
1008, 0853, 1712
1009, 1012, 1700
1010, 0912, 1657
1011, 9999, 9999
1012, 0940, 1630
1013, 0912, 1712
1014, 1012, 1720
1015, 0913, 1700
1001, 0900, 1700
1002, 0901, 1658
1003, 0900, 1712
1004, 1000, 1700
1005, 0910, 1710
1006, 0900, 1612
1007, 0910, 1700
1008, 0853, 1712
1009, 1012, 1700
1010, 0912, 1657
1011, 9999, 9999
1012, 0940, 1630
1013, 0900, 1712
1014, 1012, 1720
1015, 0900, 1700
1001, 0900, 1700
1002, 0901, 1658
1003, 0853, 1712
1004, 9999, 9999
1005, 0910, 1710
1006, 9999, 9999
1007, 0850, 1658
1008, 0853, 1712
1009, 9999, 9999
1010, 0912, 1657
1011, 0900, 1720
1012, 0940, 1630
1013, 0859, 1700
1014, 1012, 1720
1015, 9999, 9999
1001, 0900, 1700
1002, 0901, 1658
1003, 0853, 1712
1004, 9999, 9999
1005, 0910, 1710
1006, 0920, 1713
1007, 0850, 1658
1008, 0853, 1712
1009, 9999, 9999
1010, 0912, 1657
1011, 0900, 1720
1012, 0940, 1630
1013, 0859, 1700
1014, 1012, 1720
1015, 0900, 1700
1001, 0900, 1700
1002, 0901, 1658
1003, 0853, 1712
1004, 9999, 9999
1005, 0910, 1710
1006, 0920, 1713
1007, 0850, 1658
1008, 0853, 1712
1009, 9999, 9999
1010, 0912, 1657
1011, 0900, 1720
1012, 0940, 1630
1013, 0859, 1700
1014, 1012, 1720
1015, 9999, 9999
